"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist","MahaDist","MahaOut","CookDist","CookOut","Disc"
"1","IPC1998","blackbox","gripper","strips-gripper-x-1",0,"D","Time","D^10vTime^0.4",0.821280007582457,0,0.323636185097775,0,0.000762558440597934,0,0
"2","IPC1998","stan","gripper","strips-gripper-x-1",1,"D","Time","D^10vTime^0.4",0.826563825974619,-4050.98767904834,2.75626307625969,0,0.0955318218934894,1,0
"3","IPC1998","ipp","gripper","strips-gripper-x-1",2,"D","Time","D^10vTime^0.4",0.824571644406147,-27.5180697318398,1.81970683041156,0,0.0387561488594488,0,2
"4","IPC1998","hsp","gripper","strips-gripper-x-1",1,"D","Time","D^10vTime^0.4",0.435834895181702,-89967.2103112041,1.67824659721867,0,0.0339280568580901,0,0
"45","IPC1998","stan","gripper","strips-gripper-x-2",2,"D","Time","D^10vTime^0.4",0.826563825974619,-4.96346700127541,0.553586675748559,0,0.00256031864410367,0,2
"46","IPC1998","ipp","gripper","strips-gripper-x-2",2,"D","Time","D^10vTime^0.4",0.824571644406147,-8.66675072437937,1.25162445032436,0,0.017417183987219,0,2
"47","IPC1998","blackbox","gripper","strips-gripper-x-2",2,"D","Time","D^10vTime^0.4",0.821280007582457,5574.79134453479,2.49784273595717,0,0.0783891014502723,0,2
"48","IPC1998","hsp","gripper","strips-gripper-x-2",1,"D","Time","D^10vTime^0.4",0.435834895181702,-785536.025440784,2.92921695934687,0,0.114710061082716,1,0
"53","IPC1998","ipp","gripper","strips-gripper-x-3",0,"D","Time","D^10vTime^0.4",0.824571644406147,0,0.787336404369737,0,0.0011962403379605,0,0
"54","IPC1998","stan","gripper","strips-gripper-x-3",2,"D","Time","D^10vTime^0.4",0.826563825974619,-20.2432894252168,1.67604802274102,0,0.0343261525457782,0,2
"55","IPC1998","hsp","gripper","strips-gripper-x-3",2,"D","Time","D^10vTime^0.4",0.435834895181702,-894.980338526376,1.24601387918447,0,0.0154144403477626,0,2
"85","IPC1998","hsp","logistics","strips-log-x-1",2,"D","Time","D^10vTime^0.4",0.435834895181702,-64.3131530596211,0.818876888795049,0,0.00182679015396042,0,2
"86","IPC1998","stan","logistics","strips-log-x-1",2,"D","Time","D^10vTime^0.4",0.826563825974619,-3.78587405852729,0.891427779986239,0,0.00491492473610614,0,2
"87","IPC1998","ipp","logistics","strips-log-x-1",1,"D","Time","D^10vTime^0.4",0.824571644406147,-0.131249411147458,0.815173589967531,0,0.00156404461320187,0,0
"88","IPC1998","blackbox","logistics","strips-log-x-1",1,"D","Time","D^10vTime^0.4",0.821280007582457,-1,2.18572454071102,0,0.053538218879233,0,0
"129","IPC1998","blackbox","logistics","strips-log-x-2",1,"D","Time","D^10vTime^0.4",0.821280007582457,-1,0.874902259068142,0,0.0028186602978332,0,0
"130","IPC1998","hsp","logistics","strips-log-x-2",2,"D","Time","D^10vTime^0.4",0.435834895181702,-126.542220108748,0.872388419343587,0,0.00270222811558007,0,2
"132","IPC1998","stan","logistics","strips-log-x-2",2,"D","Time","D^10vTime^0.4",0.826563825974619,-2.45355423787692,0.847967923222503,0,0.00350228239079129,0,2
"196","IPC1998","hsp","logistics","strips-log-x-7",2,"D","Time","D^10vTime^0.4",0.435834895181702,-77.8930307797423,0.869647179484026,0,0.00211209862537922,0,2
"225","IPC1998","stan","movie","strips-movie-x-1",2,"D","Time","D^10vTime^0.4",0.826563825974619,-1.16396095447329,0.813259561914411,0,0.00238199071882398,0,2
"226","IPC1998","hsp","movie","strips-movie-x-1",0,"D","Time","D^10vTime^0.4",0.435834895181702,0,0.83802965836765,0,0.000708834337773824,0,0
"227","IPC1998","ipp","movie","strips-movie-x-1",0,"D","Time","D^10vTime^0.4",0.824571644406147,0,0.780584206467787,0,0.000218656092829417,0,2
"228","IPC1998","blackbox","movie","strips-movie-x-1",1,"D","Time","D^10vTime^0.4",0.821280007582457,-1,0.858626003320098,0,0.00195059558776672,0,0
"229","IPC1998","hsp","movie","strips-movie-x-10",0,"D","Time","D^10vTime^0.4",0.435834895181702,0,0.855986137478004,0,0.000693474863232888,0,2
"230","IPC1998","ipp","movie","strips-movie-x-10",1,"D","Time","D^10vTime^0.4",0.824571644406147,-1.79550423183825,0.865734669861288,0,0.00234184931005463,0,0
"231","IPC1998","stan","movie","strips-movie-x-10",0,"D","Time","D^10vTime^0.4",0.826563825974619,0,0.786703974312785,0,0.00151563990814198,0,2
"232","IPC1998","blackbox","movie","strips-movie-x-10",0,"D","Time","D^10vTime^0.4",0.821280007582457,0,0.838649357546815,0,0.000987261433752117,0,0
"233","IPC1998","stan","movie","strips-movie-x-11",0,"D","Time","D^10vTime^0.4",0.826563825974619,0,0.752718781307966,0,0.000487009811296353,0,2
"234","IPC1998","blackbox","movie","strips-movie-x-11",0,"D","Time","D^10vTime^0.4",0.821280007582457,0,0.822286606645071,0,0.000135716353886471,0,0
"235","IPC1998","ipp","movie","strips-movie-x-11",1,"D","Time","D^10vTime^0.4",0.824571644406147,-2.49356436609738,0.888665328004868,0,0.00274139930100902,0,0
"236","IPC1998","hsp","movie","strips-movie-x-11",0,"D","Time","D^10vTime^0.4",0.435834895181702,0,0.869245341607877,0,0.000574359958600104,0,2
"237","IPC1998","hsp","movie","strips-movie-x-12",0,"D","Time","D^10vTime^0.4",0.435834895181702,0,0.868206914107246,0,4.41974135923357e-05,0,2
"238","IPC1998","ipp","movie","strips-movie-x-12",2,"D","Time","D^10vTime^0.4",0.824571644406147,-5.8102345719266,1.16196207427154,0,0.0126806093156617,0,2
"239","IPC1998","blackbox","movie","strips-movie-x-12",0,"D","Time","D^10vTime^0.4",0.821280007582457,0,0.835799809850243,0,0.000138032281081662,0,0
"240","IPC1998","stan","movie","strips-movie-x-12",0,"D","Time","D^10vTime^0.4",0.826563825974619,0,0.74604707869639,0,0.000177618171763226,0,2
"241","IPC1998","ipp","movie","strips-movie-x-13",1,"D","Time","D^10vTime^0.4",0.824571644406147,-3.68799883372838,0.930399869007596,0,0.00354461664076403,0,0
"242","IPC1998","blackbox","movie","strips-movie-x-13",0,"D","Time","D^10vTime^0.4",0.821280007582457,0,0.843755020139164,0,8.78566646043764e-06,0,2
"243","IPC1998","hsp","movie","strips-movie-x-13",0,"D","Time","D^10vTime^0.4",0.435834895181702,0,0.886916451228789,0,0.000135308760340909,0,2
"244","IPC1998","stan","movie","strips-movie-x-13",0,"D","Time","D^10vTime^0.4",0.826563825974619,0,0.744282939417551,0,3.01102548605255e-06,0,0
"245","IPC1998","blackbox","movie","strips-movie-x-14",0,"D","Time","D^10vTime^0.4",0.821280007582457,0,0.858181522325617,0,9.68823907453601e-05,0,2
"246","IPC1998","hsp","movie","strips-movie-x-14",0,"D","Time","D^10vTime^0.4",0.435834895181702,0,0.898196317878171,0,2.25616341661461e-05,0,2
"247","IPC1998","stan","movie","strips-movie-x-14",0,"D","Time","D^10vTime^0.4",0.826563825974619,0,0.752410516871568,0,9.12895313195054e-05,0,0
"248","IPC1998","ipp","movie","strips-movie-x-14",2,"D","Time","D^10vTime^0.4",0.824571644406147,-5.20572826455949,1.14520722599539,0,0.0116072733314267,0,2
"249","IPC1998","hsp","movie","strips-movie-x-15",0,"D","Time","D^10vTime^0.4",0.435834895181702,0,0.911622340146974,0,3.98071965040505e-06,0,0
"250","IPC1998","stan","movie","strips-movie-x-15",0,"D","Time","D^10vTime^0.4",0.826563825974619,0,0.773517906352431,0,0.000535246293045852,0,0
